"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.c"
"1813","SP_1814",435.271991578781,0.170896874225994,0.212831280631111,0.80296878221675,0.421992778408595,0.5155620541506,497.386642777501,466.036639963145,422.672766403264,347.726562865711,536.087539563162,341.721797899904
"1814","SP_1822",3.02884907250705,0.567304969852993,0.707621611648537,0.801706675593684,0.422722653370934,0.516169061310153,5.66284602782734,3.48829820331696,3.9000947303646,0,5.12185547353339,0
"1815","SP_0959",6023.31153157734,-0.17944337204404,0.224621589602906,-0.798869656123733,0.424365995367706,0.517890181674639,6780.31431065193,4059.33261919994,6079.76017279712,7266.77551784669,4650.64476996832,7303.04179900005
"1816","SP_1756",153.194426838924,0.242323490761214,0.303488310168085,0.798460707191668,0.424603186408661,0.517894305008361,236.895725497444,121.043947655098,144.30350502349,113.543367466354,170.728515784446,132.651499606714
"1817","SP_1858",362.035044325044,0.191632335543915,0.240619352056231,0.796412815121918,0.425792132045818,0.519058652989261,253.884263580926,446.850999844902,457.773618976545,331.168155110201,346.578887042426,335.954341395264
"1818","SP_0568",6016.09402660778,-0.133101023270138,0.167338146522393,-0.795401562860783,0.426379951123388,0.519489324388506,4444.39032417316,6052.54621257525,6704.75035333804,6240.15423700507,6516.70744749232,6138.01558506283
"1819","SP_1127",281.883739461922,-0.213424460682852,0.269192357690109,-0.792832539951016,0.427875395247897,0.521024739128143,365.253568794863,190.112252080774,226.693006202442,357.188510154574,249.263633045292,302.791466493586
"1820","SP_1533",599.663772614447,0.115403092192579,0.147992777515929,0.779788677053225,0.435515272234852,0.530036443956152,612.531178676657,618.475271448096,640.10304762109,600.833652842793,519.014687984717,607.024797113331
"1821","SP_1625",878.600549062867,-0.137986388156484,0.177145045896115,-0.778945792463228,0.436011647407435,0.530349148274282,1019.31228500892,768.820924011057,722.492548800042,929.636321130777,845.10615313301,986.235062293393
"1822","SP_1307",117.090914223045,-0.203009386819855,0.26097172230013,-0.777898022937458,0.436629133915313,0.530808744029867,110.425497542633,89.6492638252458,126.265566895554,125.370801577433,110.97353525989,139.860820237513
"1823","SP_1694",15.7344935972882,-0.415924107082478,0.535784878764982,-0.776289372035302,0.437578146875353,0.531670650207848,13.2133073982638,14.9996822742629,11.2127723497982,14.1929209332943,11.9509961049112,28.8372825231986
"1824","SP_0138",13.159813160609,-0.450105951513332,0.580332280601473,-0.775600404387,0.43798496154315,0.531873185207279,13.2133073982638,6.27893676597052,12.1877960323894,21.2893813999415,18.7801367362891,7.20932063079966
"1825","SP_RS02895",64.0862719789129,0.277787117357613,0.358528521393141,0.77479782160206,0.438459136714265,0.532157253601149,69.8417676765372,68.0218149646807,75.0768235595186,35.4823023332358,87.0715430500677,49.0233802894377
"1826","SP_1288",186.599458553616,-0.190141028500359,0.246462362504155,-0.771480994373544,0.440421883400588,0.534246698648577,195.368187960043,158.019908610258,168.679097088269,229.452221754925,141.704668101091,226.372667807109
"1827","SP_RS07080",5.25321399792421,0.537829884104418,0.697953106920025,0.770581689187961,0.440954918043339,0.534600516401749,4.71903835652278,10.8137244302826,5.36263025425133,0,3.41457031568893,7.20932063079966
