,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.C
124,SPT_1426,139690.3087,-1.492713288,0.084368483,17.69278326,4.77E-70,8.28E-69,196611.8766,210244.7784,212018.3445,74131.92854,66602.12342,78532.80091
125,SPT_1348,1339.754895,-1.65640292,0.094600507,17.50945077,1.21E-68,2.09E-67,2056.577599,2031.219422,2020.396236,644.0145427,692.8911894,593.4303803
126,SPT_1160,950.1363075,-1.713213474,0.098326737,17.42367875,5.46E-68,9.33E-67,1435.017158,1532.71134,1405.434782,433.2461469,443.027515,451.3809034
127,SPT_1732,2427.198262,2.130990977,0.122333028,-17.41958825,5.86E-68,9.94E-67,1081.041162,878.4194827,719.4647074,4306.913785,3803.693935,3773.656497
128,SPT_1898,9619.340812,1.458311683,0.083742179,-17.41430296,6.43E-68,1.08E-66,4967.896372,5561.983315,4836.624942,13534.95027,14213.39902,14601.19096
129,SPT_0949,465.1548402,-2.469332629,0.142357723,17.34596887,2.12E-67,3.53E-66,796.6371221,702.5345748,869.5206613,163.9309745,115.3216959,142.9840129
130,SPT_1776,264.0822428,3.012608327,0.173843175,-17.3294599,2.82E-67,4.67E-66,53.5168892,60.30339698,57.61076801,419.4078179,449.7546139,543.8999706
131,SPT_0119,9506.424121,-1.305078047,0.075905608,17.19343384,2.97E-66,4.89E-65,13557.35709,13324.03556,13748.87677,5487.429699,5218.306738,5702.538867
132,SPT_0599,4166.041007,-1.426404055,0.083601727,17.06189708,2.85E-65,4.66E-64,5831.811869,5970.036301,6430.969452,2337.613117,2131.529345,2294.285958
133,SPT_1234,1238.93102,-1.61714133,0.095194254,16.98780408,1.01E-64,1.64E-63,1813.458017,1907.597458,1891.776847,567.3714897,650.6065675,602.7757406
134,SPT_1262,803.9416743,-1.719665245,0.101552851,16.93369736,2.54E-64,4.08E-63,1199.542845,1265.36628,1239.301405,390.666673,367.1073985,361.6654444
135,SPT_1169,482.0867965,-2.026594787,0.120165711,16.86500058,8.14E-64,1.30E-62,810.3986079,758.8177453,756.9786959,179.8982772,186.4367417,199.9907108
136,SPT_0609,819.7631448,-1.813752779,0.107941338,16.80313418,2.31E-63,3.67E-62,1188.07494,1301.548318,1346.484229,329.9909227,379.6005822,372.8798768
