Gene,Value,padj
Rv1398c,0.14,0.557
Rv1399c,0.07,0.236
Rv1400c,-0.22,0.004
Rv1404,0.28,0.041
Rv1405c,0.49,0.088
Rv1406,-0.01,0.902
Rv1407,-0.14,0.352
Rv1408,-0.13,0.623
Rv1409,0.07,0.614
Rv1410c,-0.58,0.003
Rv1411c,0.01,0.964
Rv1412,0.17,0.263
Rv1415,0.27,0.003
Rv1416,0.28,0.009
Rv1417,0.18,0.695
Rv1419,0.45,0.071
Rv1420,0.66,0.095
Rv1421,0.15,0.110
Rv1422,-0.28,0.062
Rv1423,-0.20,0.276
Rv1424c,-0.17,0.316
