,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.C
101,SPT_1485,3192.476732,-0.485619826,0.116416953,4.171384102,3.03E-05,0.000570438,2629.295193,2559.505382,2633.133431,3746.863199,3041.880119,4544.183067
102,SPT_0736,265.9910411,-0.551490739,0.132591594,4.159319021,3.19E-05,0.000595523,238.1693403,191.5596202,199.0924659,327.9880249,301.3295498,337.8072455
103,SPT_0268,16457.25113,-0.365709825,0.088629893,4.126258229,3.69E-05,0.000681225,14942.17846,14307.15114,13568.50016,17556.359,18264.382,20104.93603
104,SPT_1240,531.3271662,-0.473766853,0.115371452,4.106447853,4.02E-05,0.000734308,424.4602105,468.4808957,414.4531878,572.97908,615.7603843,691.8292389
105,SPT_2190,2010.111585,0.398932702,0.097193603,-4.104516047,4.05E-05,0.000734308,2378.156235,2351.814425,2182.270337,1710.937532,1567.390069,1870.100911
106,SPT_0949,595.0683061,-0.548190654,0.134477313,4.076454542,4.57E-05,0.00082094,457.4737824,567.2853314,375.719245,642.9765244,702.7052742,824.2496791
107,SPT_1937,59941.05208,-0.379544809,0.093215143,4.071707618,4.67E-05,0.000830023,49170.17821,51976.51028,53765.03662,71526.38851,72600.17406,60608.02477
108,SPT_1059,3310.62817,-0.365862936,0.089932584,4.068191085,4.74E-05,0.000834845,2688.248,3074.36387,2844.620758,3635.867251,3779.125144,3841.543996
109,SPT_RS04245,191.1791051,0.592981294,0.145918596,-4.063781528,4.83E-05,0.000842977,226.3787789,262.1342171,220.7834739,128.9952903,165.5525985,143.2302721
110,SPT_0263,23310.00987,-0.396746867,0.09821775,4.039461986,5.36E-05,0.000926829,20381.16444,21600.53163,17757.96341,28423.96222,27436.47237,24259.96515
111,SPT_0076,343.96725,0.493641594,0.122509842,-4.029403577,5.59E-05,0.000954266,440.9669964,378.4142673,408.255757,274.9899599,288.228265,272.9482544
112,SPT_0333,2828.887003,-0.369394333,0.091745626,4.026288202,5.67E-05,0.000954266,2617.504631,2386.093515,2344.178217,3403.875722,3089.521155,3132.148781
113,SPT_RS10825,2026.107031,0.364888616,0.090592602,-4.027797076,5.63E-05,0.000954266,2253.176284,2410.962659,2219.454922,1705.937715,1738.897797,1828.212813
114,SPT_0788,4396.000903,-0.343978919,0.085811495,4.008541251,6.11E-05,0.001019857,3921.540722,3725.666578,3900.508039,4976.818292,5155.951071,4695.520713
115,SPT_1015,515.3755601,0.437756705,0.110266798,-3.969977465,7.19E-05,0.001189448,623.7206982,598.8758653,577.9104264,452.9834612,414.4770092,424.2859004
116,SPT_0325,545.2561798,-0.443391079,0.111765956,3.967138964,7.27E-05,0.001193322,481.0549052,467.8087567,416.7772244,673.9753926,615.7603843,616.1604159
117,SPT_0223,297.7383058,0.539709806,0.136243813,-3.961352765,7.45E-05,0.001212168,334.8519438,338.7580652,407.4810781,224.9917854,206.0474787,274.2994834
118,SPT_2114,8535.639064,0.377890719,0.095709219,-3.948320977,7.87E-05,0.001269224,9803.851806,9303.076152,10047.58476,8112.703798,7409.372052,6537.245816
119,SPT_0262,34449.84259,-0.420129913,0.106472115,3.945914967,7.95E-05,0.001271265,29413.91353,32532.87276,25262.27749,40289.529,43842.85398,35357.60878
120,SPT_1061,4099.487526,-0.497680098,0.126454173,3.93565578,8.30E-05,0.001315763,3556.033319,3397.662737,2992.58442,5612.795072,5408.448559,3629.401046
121,SPT_0445,1929.754816,0.400177945,0.101739313,-3.933365897,8.38E-05,0.001317388,2440.64621,2119.254325,2087.759516,1758.93578,1492.355438,1679.577625
122,SPT_0269,5986.536189,-0.425829951,0.108531067,3.923576552,8.72E-05,0.001338914,4325.956978,5531.70412,5245.350532,6228.772582,7778.590077,6808.842841
123,SPT_1697,819.3065306,-0.45932766,0.117049917,3.924203226,8.70E-05,0.001338914,650.8389894,596.8594482,783.2003231,1005.963271,868.2578727,1010.719279
124,SPT_2014,2139.308018,-0.346528711,0.088241002,3.927071357,8.60E-05,0.001338914,1880.594544,1799.988291,1930.499708,2433.911136,2345.129974,2445.724458
125,SPT_0283,25057.39553,-0.369298349,0.094362555,3.91361119,9.09E-05,0.001384257,23355.92308,20944.52395,20722.65939,30131.89986,25517.72966,29671.63722
126,SPT_0633,405.2016008,0.476402424,0.121951245,-3.906499071,9.36E-05,0.001414307,535.2914876,457.0545324,445.440342,309.9886821,353.7346889,329.6998717
127,SPT_0278,3364.413625,-0.524083649,0.136006163,3.853381611,0.000116498,0.001745629,2833.271905,2804.163984,2379.813445,5202.810041,4022.094425,2944.327952
128,SPT_0737,144.6423961,-0.577331603,0.150357299,3.839731141,0.000123169,0.001831178,116.7265579,103.5094088,112.3284341,188.9930997,167.9346503,178.3622256
129,SPT_0554,472.9967306,0.424620101,0.110980941,-3.826063251,0.000130209,0.001920833,563.588835,544.4326048,537.6271259,404.9852136,404.9488021,382.397802
130,SPT_1085,677.9376322,-0.40490489,0.106079111,3.817008717,0.000135079,0.001977355,556.5144982,586.7773629,582.5584995,748.9726544,745.5822062,847.2205718
131,SPT_0713,389.8044955,-0.465612454,0.122645955,3.796394716,0.000146816,0.00213275,341.9262807,335.3973701,284.3071401,449.9835707,429.9603457,497.2522654
132,SPT_1483,575.2643908,0.417232743,0.110702184,-3.768965788,0.000163925,0.002363257,688.5687859,678.8604084,627.4898731,470.982804,457.3539412,528.330532
133,SPT_1189,2114.80258,-0.3824008,0.101897194,3.752809925,0.000174863,0.002501993,1779.195716,2050.024006,1616.754772,2333.914787,2461.850511,2447.075687
134,SPT_0739,102.783106,-0.640015702,0.170720903,3.748900639,0.000177611,0.002503663,71.92242455,73.26315299,76.69320672,162.9940489,104.8102782,127.0155243
135,SPT_1426,376199.0173,-0.329470116,0.087862712,3.749828684,0.000176955,0.002503663,329403.5254,334533.6715,329670.0098,447664.6554,434685.1454,381237.0963
136,SPT_0854,1650.656351,0.424495404,0.113903947,-3.726783968,0.000193939,0.002713714,2150.5984,1876.612139,1720.561739,1595.941731,1338.713099,1221.511
137,SPT_0714,496.4262781,-0.445486747,0.119971079,3.713284478,0.000204587,0.002841814,429.176435,429.4968327,379.5926393,602.9779848,636.0078244,501.3059524
138,SPT_0317,45783.27565,-0.339325858,0.091456425,3.710246257,0.000207058,0.002855296,39393.4447,43146.62,37816.72302,53567.04422,53685.49192,47090.33003
139,SPT_0855,438.4573477,0.429351081,0.116624645,-3.681478131,0.000231886,0.003174665,471.6224561,553.842551,501.9918985,368.986528,357.3077665,376.992886
140,SPT_0743,57.58310171,0.689249479,0.188084398,-3.664575505,0.000247749,0.003353134,71.92242455,71.91887495,86.76403184,30.99886821,39.30385432,44.59055641
141,SPT_1136,877.1163802,0.397535536,0.108501925,-3.663856986,0.000248446,0.003353134,1045.822796,1089.537349,887.0072898,738.9730195,782.5040087,718.8538185
142,SPT_0329,13498.52786,-0.359222392,0.098131424,3.660625488,0.0002516,0.003371798,10927.49231,12532.032,11682.93182,13873.49347,17119.80612,14855.41143
