,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.C
89,SPT_0258,8482.138784,-0.489505413,0.067054734,7.300087337,2.88E-13,6.28E-12,6718.769769,7628.376895,6731.716236,9855.554939,10227.08876,9731.326104
90,SPT_1490,4099.631833,-0.557729202,0.076466178,7.293802561,3.01E-13,6.51E-12,3380.24523,3306.328344,3204.448082,4765.468868,4468.87807,5472.422405
91,SPT_0265,16170.53676,-0.398277816,0.054814636,7.265902753,3.71E-13,7.91E-12,13663.52662,13856.16176,14249.42917,18355.22578,18390.16752,18508.70969
92,SPT_2260,4250.984734,1.312226094,0.180944406,-7.252095398,4.10E-13,8.67E-12,6515.381395,6684.820156,5964.073856,1943.286656,1674.650419,2723.695922
93,SPT_0282,30114.3755,-0.429445931,0.059385422,7.231504223,4.78E-13,9.98E-12,25710.37642,25168.75526,25907.66043,35199.98784,32712.94194,35986.53107
94,SPT_0716,282.4723703,-0.82263506,0.116221071,7.078192045,1.46E-12,3.02E-11,183.3972084,218.818257,193.2601774,354.4289867,388.0123257,356.9172668
95,SPT_0261,22569.50487,-0.471794358,0.067799399,6.958680558,3.43E-12,6.97E-11,17455.76368,19962.89822,19087.4116,24934.79691,26320.16942,27655.98936
96,SPT_0579,7472.527893,-0.429993605,0.061794858,6.958404301,3.44E-12,6.97E-11,6458.884625,5981.032358,6606.475004,8689.582945,8603.634416,8495.558008
97,SPT_0329,11676.10805,-0.437645044,0.063060904,6.940037544,3.92E-12,7.85E-11,9846.083304,9451.86237,10368.03064,13451.73939,12886.58991,14052.34268
98,SPT_0894,1111.926476,0.52488147,0.076578412,-6.854170196,7.17E-12,1.42E-10,1339.408048,1354.81091,1255.65132,883.3121164,936.3491887,902.0272743
99,SPT_0077,660.0950591,0.621293543,0.091129422,-6.817705304,9.25E-12,1.82E-10,852.6666421,796.1259988,766.562715,556.4866333,503.8771174,484.8512482
100,SPT_1060,8124.955024,-0.515295864,0.075723942,6.804926523,1.01E-11,1.96E-10,6414.55639,7251.26458,6282.575265,9501.125952,10414.3586,8885.849357
101,SPT_0443,3010.995957,0.485028957,0.071823471,-6.753070415,1.45E-11,2.78E-10,3421.096741,3341.246151,3812.299925,2380.526154,2567.887127,2542.919644
102,SPT_1955,14524.24234,0.484667574,0.071791761,-6.751019471,1.47E-11,2.80E-10,17966.84216,16200.31053,16822.27276,12000.89924,13098.11052,11057.01881
103,SPT_0452,5570.855064,0.392698139,0.058613809,-6.699754671,2.09E-11,3.94E-10,6223.336552,6437.291702,6346.275547,4886.924284,4836.681421,4694.620881
104,SPT_0262,34304.5186,-0.409212205,0.061379794,6.666887854,2.61E-11,4.88E-10,29927.64304,29022.12925,29221.15476,40348.59334,36593.0652,40714.52604
105,SPT_0634,276.4477903,0.80104917,0.121101375,-6.614699193,3.72E-11,6.89E-10,332.8963546,379.440169,359.52871,183.2872642,179.1862476,224.3479963
106,SPT_0577,20315.58283,-0.4342198,0.066056741,6.573436632,4.92E-11,9.01E-10,16997.70525,17655.21915,17004.73628,22944.03222,25377.08391,21914.72018
107,SPT_1332,3924.970516,-0.448422857,0.068985463,6.500251496,8.02E-11,1.46E-09,3302.018933,3556.960603,3057.613533,4490.537972,4553.755766,4588.936288
108,SPT_0876,8081.16139,-0.380002248,0.058576867,6.487240902,8.74E-11,1.57E-09,6857.838742,6878.032021,7285.58479,9008.679447,9267.83607,9188.99727
109,SPT_0255,20651.23087,-0.560982055,0.086593976,6.478303485,9.28E-11,1.65E-09,17533.98998,15194.67769,16920.52235,24927.06793,21289.48184,28041.64542
110,SPT_1239,539.242622,-0.604322095,0.09438845,6.402500493,1.53E-10,2.70E-09,449.3666197,403.4946583,415.6713314,662.4840873,689.7996901,614.6393452
111,SPT_2261,2170.686866,1.168892978,0.183737596,-6.361751791,1.99E-10,3.49E-09,3057.779049,3193.039459,3255.192374,1006.975813,974.0726092,1537.061892
112,SPT_1897,7939.443415,-0.399169912,0.062822694,6.35391269,2.10E-10,3.64E-09,6774.397358,6690.251815,7025.385333,8939.118618,8631.926981,9575.580387
113,SPT_2191,3596.299073,0.524225916,0.082867922,-6.326041526,2.52E-10,4.32E-09,4072.113372,4337.567576,4385.602462,2796.786989,2632.555848,3353.168193
114,SPT_1401,851.2802577,0.701530959,0.111425649,-6.295955793,3.06E-10,5.21E-09,1082.999629,1042.10255,1078.58613,542.1328115,561.8095132,800.0509124
115,SPT_0941,9330.477349,-0.411339377,0.066028995,6.229677996,4.67E-10,7.90E-09,7633.148268,7998.505649,8315.585959,10385.54221,11430.19643,10219.88558
116,SPT_0959,2020.221477,0.445834328,0.071664778,-6.221108092,4.94E-10,8.27E-09,2484.119534,2312.334772,2215.474213,1753.374551,1640.968794,1715.056996
117,SPT_2003,4133.435002,0.406833872,0.065565981,-6.204953672,5.47E-10,9.09E-09,4768.327419,4531.555393,4869.292739,3483.562159,3740.007695,3407.864605
118,SPT_1855,7895.336005,-0.42618201,0.069163178,6.161978393,7.18E-10,1.18E-08,6983.869999,6538.941318,6617.271662,8740.373392,8591.50903,9900.05063
119,SPT_1493,8468.846179,-0.352765602,0.057467315,6.138543349,8.33E-10,1.36E-08,7266.353851,7389.383905,7613.803191,9380.774676,9729.947972,9432.81348
120,SPT_0084,329.9334053,-0.698382826,0.1142201,6.114360137,9.69E-10,1.57E-08,242.5015221,270.8069918,226.7298171,423.9898159,367.8033504,447.7689347
121,SPT_2201,367.0799951,0.638088797,0.10443051,-6.110175987,9.95E-10,1.60E-08,432.8521791,471.0024184,449.140971,268.3060554,291.0092442,290.1691026
122,SPT_0745,1092.498958,0.462957449,0.076044315,-6.087995546,1.14E-09,1.82E-08,1236.844681,1281.09554,1295.598955,876.6872755,922.8765385,941.8907613
123,SPT_0763,2496.650885,0.41996366,0.06930987,-6.059218662,1.37E-09,2.16E-08,2712.714159,2832.222121,3054.374536,2124.36564,2086.913515,2169.315336
124,SPT_1238,1231.928081,-0.469202121,0.077596227,6.046713105,1.48E-09,2.32E-08,1042.148118,1021.927817,1018.124845,1535.858942,1434.837246,1338.671515
125,SPT_0815,1129.833519,-0.444091817,0.07405921,5.996442818,2.02E-09,3.11E-08,960.4450963,935.0212754,963.0618898,1280.802569,1344.57049,1295.099797
126,SPT_1699,10073.31113,-0.510271634,0.085079259,5.997603164,2.00E-09,3.11E-08,7721.804738,8973.87639,8052.147504,10780.82438,13643.75285,11267.46094
127,SPT_0551,1638.224971,-0.489825288,0.082031675,5.97117258,2.36E-09,3.58E-08,1435.887148,1259.368905,1371.175561,1891.392069,1768.958971,2102.567172
128,SPT_0572,450.6442544,-0.609699444,0.102097148,5.971757844,2.35E-09,3.58E-08,335.5038979,325.8995317,397.3170128,568.6321749,541.6005379,534.9123713
129,SPT_0921,9601.257183,-0.398680648,0.066821832,5.966323221,2.43E-09,3.65E-08,8618.799615,8130.417364,8021.916862,11193.7728,10119.30756,11523.3289
130,SPT_1050,4241.825898,-0.377433556,0.063273123,5.965148239,2.44E-09,3.65E-08,3626.223477,3881.308232,3530.507152,4812.946894,4762.581845,4837.387788
131,SPT_0398,3947.5187,-0.371455875,0.06252259,5.941146664,2.83E-09,4.18E-08,3428.919371,3563.168213,3303.777335,4458.517908,4557.797562,4372.931812
132,SPT_0809,2844.599815,-0.44528573,0.074956062,5.94062332,2.84E-09,4.18E-08,2265.955082,2278.968868,2650.579528,3251.692729,3422.05315,3198.349534
133,SPT_1856,305.9730624,-0.6918338,0.116479536,5.939530857,2.86E-09,4.18E-08,238.1556166,204.8511342,247.2434672,367.6786685,357.0252302,420.8842575
134,SPT_2237,1463.236898,-0.454086433,0.076470114,5.938090173,2.88E-09,4.18E-08,1223.806964,1139.87241,1325.829597,1731.291748,1661.177769,1697.442898
135,SPT_0814,1342.264825,-0.434091733,0.073519661,5.904430583,3.54E-09,5.08E-08,1137.758037,1162.374996,1108.816772,1469.610534,1604.592638,1570.435974
136,SPT_1159,2463.448454,-0.416347036,0.070523243,5.903685354,3.55E-09,5.08E-08,2094.726409,2208.357303,2003.859717,2934.804507,2659.501149,2879.441638
137,SPT_0445,2078.004102,0.439866432,0.074605444,-5.89590258,3.73E-09,5.28E-08,2260.739996,2366.651361,2573.923257,1662.835059,1847.100342,1756.774599
138,SPT_1149,1294.915191,0.454480948,0.07740287,-5.871629182,4.32E-09,6.08E-08,1487.168832,1533.279701,1486.699801,995.9344113,1146.522532,1119.885866
139,SPT_1875,1672.822537,-0.423479673,0.072630622,5.830594051,5.52E-09,7.72E-08,1387.213008,1518.536627,1362.538234,1904.641751,1887.518293,1976.487306
140,SPT_1240,739.45045,-0.538587929,0.092463828,5.824850002,5.72E-09,7.93E-08,664.0543471,567.9963266,558.1872164,887.728677,933.6546586,825.081474
141,SPT_0747,919.1337276,-0.482313559,0.083232785,5.794754545,6.84E-09,9.43E-08,830.937115,729.39419,725.5354147,1100.827725,1050.866715,1077.241205
