,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF90MIN.C
101,SPT_2255,3489.936843,-1.742773252,0.095618036,18.22640708,3.19E-74,6.80E-73,5281.444368,5173.446485,5628.33181,1594.734637,1471.376324,1790.287435
102,SPT_1857,3693.342319,2.691394294,0.148639215,-18.10689257,2.81E-73,5.94E-72,1014.629352,1144.725516,783.7957968,7609.932234,5739.583676,5867.387337
103,SPT_0267,3321.73495,-1.912011549,0.106159861,18.01068255,1.61E-72,3.36E-71,5471.740946,4977.413662,5263.656177,1438.123949,1212.973457,1566.501506
104,SPT_0498,7775.607925,-1.899758606,0.105608623,17.98866938,2.39E-72,4.95E-71,13797.93056,11018.03049,11977.28322,3128.845782,3220.915733,3510.641768
105,SPT_0067,435.1689699,2.09472805,0.116900961,-17.91882667,8.41E-72,1.73E-70,166.866669,174.0407459,157.1700615,705.5900876,756.9683979,650.3778574
106,SPT_0027,398.5019634,2.081605636,0.116224084,-17.91027788,9.80E-72,1.99E-70,146.8655272,156.5987539,149.4656467,655.070511,618.6468634,664.364478
107,SPT_0191,697.8620382,2.370423443,0.133050209,-17.81600685,5.31E-71,1.07E-69,262.5864193,201.341255,215.2099862,1170.370193,1302.654452,1035.009924
108,SPT_2058,1373.698861,2.008316217,0.11313885,-17.7508983,1.70E-70,3.38E-69,519.172496,565.7272175,532.1182474,1971.947476,2065.702917,2587.524809
109,SPT_0694,469.9075351,-3.206825942,0.181544126,17.66416798,7.92E-70,1.57E-68,887.4792364,736.3553997,925.5570288,75.77936502,103.3611467,90.91303383
110,SPT_0119,3203.772358,-2.014905933,0.114163895,17.64923959,1.03E-69,2.02E-68,5066.860689,5026.706248,5270.846964,1069.33104,1278.334182,1510.555024
111,SPT_1598,1450.855745,-1.657471136,0.093976947,17.63699702,1.28E-69,2.49E-68,2261.843411,2199.586856,2157.749766,693.8021864,706.8078414,685.3444089
112,SPT_1061,1007.51114,-2.32435199,0.132188129,17.58366658,3.29E-69,6.32E-68,1642.093745,1517.832474,1855.736706,296.3815165,334.4037099,398.6186868
113,SPT_0261,5703.393384,-2.202163064,0.125270045,17.57932681,3.55E-69,6.77E-68,9605.976964,9062.252344,9405.549562,1662.094073,2001.862209,2482.625155
114,SPT_0469,768.1636333,-2.164515287,0.123145916,17.57683371,3.71E-69,7.01E-68,1226.641456,1233.072997,1275.33746,279.5416576,244.722715,349.6655147
115,SPT_1224,1153.393291,-2.084930766,0.120804345,17.25873992,9.62E-67,1.80E-65,2068.118066,1794.629303,1727.329793,410.892557,443.8449241,475.5451001
116,SPT_0388,506.958544,1.843135569,0.107636235,-17.12374626,9.87E-66,1.83E-64,213.1550259,219.1624207,229.0779328,772.9495232,810.1689881,797.2373736
117,SPT_0730,407.2696766,2.024410851,0.118480298,-17.08647673,1.87E-65,3.45E-64,150.580025,162.6655337,163.3335933,665.1744263,609.5267622,692.3377192
118,SPT_0789,454.3771869,1.925249,0.113276379,-16.9960324,8.79E-65,1.60E-63,178.8673542,193.7577802,195.6921354,749.3737208,702.2477908,706.3243398
119,SPT_1595,1329.623873,-1.850053733,0.109196772,16.9423848,2.19E-64,3.97E-63,1969.82674,2041.471407,2264.07069,601.1829625,583.6864755,517.5049618
120,SPT_1333,1327.925566,-2.232674715,0.132114044,16.89960171,4.53E-64,8.13E-63,1986.113385,2370.594212,2176.753989,471.516049,389.124317,573.4514442
121,SPT_0779,1815.203061,-1.752118033,0.104573573,16.75488345,5.22E-63,9.29E-62,2561.574808,2903.712488,2921.000457,847.0449023,776.7286171,881.1570972
122,SPT_1302,4978.253898,-1.877844667,0.112528195,16.68777029,1.61E-62,2.84E-61,7411.280243,7496.264805,8530.328043,1970.263491,1957.78172,2503.605086
123,SPT_1415,1346.60573,-1.715973114,0.102912592,16.67408306,2.02E-62,3.54E-61,1974.969891,2154.086007,2034.479129,597.8149907,604.9667116,713.3176501
124,SPT_2147,7723.249936,-2.88210447,0.173187554,16.64152191,3.49E-62,6.06E-61,15430.30947,11162.87485,14234.67675,1810.284831,1337.61484,2363.73888
125,SPT_0559,439.3488433,1.938909823,0.117374651,-16.51898271,2.68E-61,4.62E-60,169.723975,180.4866994,196.205763,725.7979183,685.5276053,678.3510986
126,SPT_0895,351.0631451,-2.849653949,0.172964769,16.47534333,5.52E-61,9.44E-60,590.0336842,597.5778115,662.0660433,79.1473368,86.64096121,90.91303383
127,SPT_0950,884.1555702,-2.131315788,0.129546364,16.45214666,8.09E-61,1.36E-59,1298.074105,1440.481032,1556.291785,294.6975306,323.7635919,391.6253765
128,SPT_1216,552.0400669,-2.171086381,0.131963258,16.4522036,8.09E-61,1.36E-59,864.0493274,926.7006163,928.6387947,215.5501938,188.482091,188.819378
129,SPT_0011,167.1821423,2.850700157,0.173693647,-16.41223037,1.56E-60,2.61E-59,43.14532025,34.50481018,43.14472276,325.0092766,270.5630017,286.7257221
130,SPT_0582,496.2784074,-2.50672052,0.153389775,16.34216179,4.95E-60,8.20E-59,786.6163354,801.9524564,924.5297735,131.3508994,144.401602,188.819378
131,SPT_0264,2072.088172,-1.916232753,0.117537022,16.30322708,9.36E-60,1.54E-58,3059.888971,3564.612313,3157.269176,808.3132269,793.4488026,1048.996544
132,SPT_1165,850.4585104,1.899912153,0.116860953,-16.25788681,1.96E-59,3.21E-58,311.7320821,391.3072979,364.6756329,1289.933191,1290.494317,1454.608541
133,SPT_2059,310.010075,2.162248004,0.133406608,-16.20795278,4.43E-59,7.18E-58,103.1487458,123.9898124,115.052594,520.3516398,528.9658684,468.5517898
134,SPT_0801,603.077094,-2.030401809,0.12541805,16.18907173,6.02E-59,9.69E-58,993.4852882,924.8047476,1006.19657,242.4939681,241.6826813,209.7993088
135,SPT_0483,706.2144802,1.61661027,0.099951005,-16.17402709,7.69E-59,1.23E-57,348.3055986,341.2563644,338.4806226,1023.863421,1024.491366,1160.889509
136,SPT_0586,6870.345462,-2.065224822,0.128257819,16.10213587,2.46E-58,3.91E-57,10745.75632,11539.0152,10947.45977,2295.272767,2372.746324,3321.82239
137,SPT_0278,849.8874449,-2.611801094,0.162375412,16.08495442,3.25E-58,5.12E-57,1328.075818,1301.703443,1762.770101,267.7537564,208.2423103,230.7792397
138,SPT_1949,352.1460189,2.102586946,0.130829707,-16.07117365,4.06E-58,6.35E-57,123.4356182,132.7108084,130.4614236,537.1914987,510.7256661,678.3510986
139,SPT_1587,1930.095611,-1.508513188,0.093951905,16.05622771,5.17E-58,8.02E-57,2829.018648,2777.068459,2941.031935,929.5602109,1019.931315,1083.963096
140,SPT_1243,1745.669951,-2.478685258,0.154926562,15.99909806,1.30E-57,2.00E-56,2977.598559,2779.722675,3071.493359,400.7886417,503.1255817,741.2908913
141,SPT_2013,1012.715084,1.778190666,0.111229445,-15.98669003,1.58E-57,2.42E-56,444.8825406,503.1635507,432.4744829,1631.782327,1693.298786,1370.688818
142,SPT_1862,2140.868297,2.471195382,0.154793893,-15.9644243,2.26E-57,3.43E-56,666.0380232,484.2048638,790.986584,3708.136928,3272.596307,3923.247075
