"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.c"
"1782","SPT_0299",412.735464102908,-0.186396249147094,0.430119885726301,-0.433358826998535,0.664754107234822,0.803151286687189,512.40539409485,217.708853185655,410.215405874096,740.314868373054,206.982858397004,388.785404692791
"1783","SPT_2177",1.13472478052698,0.187815798309934,0.43466910033859,0.432089141288473,0.665676626487649,0.803814793509763,3.07883069413214,0.784536407876234,1.36133431152908,0,0,1.5836472696244
"1784","SPT_RS02145",149.89364399934,-0.179486835037494,0.415955486091384,-0.431504911076137,0.666101282476957,0.803876715904085,164.937358614222,163.575841042195,94.3858455993495,91.9011560738964,135.929041335346,248.632621331032
"1785","SPT_0884",1567.60148578936,-0.128808020979847,0.300475696177881,-0.428680331282409,0.668155876253944,0.805904538697335,1228.01361400242,1715.38885582139,1544.66066548166,1046.65205528604,1612.61271766024,2258.2810064844
"1786","SPT_0851",10.6812535817141,0.246114577116745,0.579868196106588,0.424431929133609,0.671250839136329,0.808731425103814,21.1119819026204,5.49175485513364,14.5208993229768,0,0,22.9628854095539
"1787","SPT_1644",253.402958798595,0.171110612991387,0.402732862223988,0.424873729068131,0.670928726666147,0.808731425103814,268.737936302106,226.338753672293,319.006007001648,275.703468221689,98.8574846075243,331.774102986313
"1788","SPT_0746",71697.115309137,0.0916512938521691,0.217758653970779,0.420884737212179,0.673839250891999,0.81048933361479,67187.5629062206,78923.1858277373,76040.0506390798,73490.2911404258,81585.2284687534,52956.3728726053
"1789","SPT_1550",501.754073923456,0.11865274274942,0.281792719746899,0.421063904191676,0.673708418484214,0.81048933361479,463.58393594504,611.153861735586,493.25679887737,433.977681460066,636.395057160937,372.157108361735
"1790","SPT_2240",477.307464298901,-0.21147843816286,0.501463227113479,-0.42172272407724,0.673227415895394,0.81048933361479,527.359714609206,264.781037658229,510.046588719562,336.970905604287,135.929041335346,1088.75749786678
"1791","SPT_0140",413.357997907508,-0.169215150525531,0.402735564295114,-0.420164409422592,0.674365352593495,0.810522944540342,353.185863912587,475.429063172998,321.728675624706,602.46313426221,546.805461735369,180.535788737182
"1792","SPT_1613",1135.64588544874,-0.129191898628125,0.307734820141559,-0.419815666516698,0.674620119190104,0.810522944540342,1022.17179045187,1126.98654991421,1089.52122732711,1097.70825310487,1730.00598063167,747.481511262719
"1793","SPT_0600",23.8988379467971,0.251494372097262,0.60164168618336,0.418013541735563,0.675937216379003,0.811652441084213,44.4231285867638,14.1216553417722,26.7729081267386,15.3168593456494,0,42.7584762798589
"1794","SPT_1356",3630.45896278179,0.128196987843651,0.307597934290796,0.41676803889865,0.676848082265288,0.812293155583704,3052.00088379756,4165.8883258228,4203.8003540018,2016.71981384384,3790.56667541976,4553.77772380498
"1795","SPT_0560",589.820953994805,0.138974590439003,0.33668166666906,0.412777422108961,0.67976969477093,0.814066718768725,621.044134302084,570.75023672996,671.137815583836,372.710244077469,880.449472285763,422.833820989716
"1796","SPT_1450",1681.19321248587,0.157240629155999,0.381019695464607,0.412683730074014,0.679838346654049,0.814066718768725,1936.58450660912,1562.79652448946,1863.66667248331,975.173378339678,954.592585741406,2794.34560725226
